"","Brettanomyces","Issatchenkia","Kazachstania","Starmerella"
"Acetic.Acid",-0.0357142857142857,-0.642857142857143,0.522543728363424,0.428571428571428
"Ethanol",0.535714285714286,-0.178571428571429,-0.522543728363424,-0.178571428571429
"Formic.acid",0.162168743285201,-0.61263747463298,-0.0727272727272727,0.450468731347779
"Fructose",0.107142857142857,0.178571428571429,-0.882918713441648,0.0714285714285714
"Gallic.acid",0.444749589996661,-0.259437260831385,-0.373978796003383,-0.0741249316661101
"Gluconic.acid",0.214285714285714,-0.642857142857143,-0.108112495523467,0.428571428571428
"Glucose",0.535714285714286,-0.0714285714285714,-0.774806217918181,-0.142857142857143
"Glycine",-0.214285714285714,-0.5,0.630656223886891,0.428571428571428
"Isobutyric.acid",0.882918713441648,-0.0900937462695559,-0.145454545454545,-0.738768719410358
"Lactic.acid",0.5,-0.214285714285714,-0.450468731347779,-0.142857142857143
"Succinic.acid",0.5,-0.214285714285714,-0.450468731347779,-0.142857142857143
"Sucrose",-0.464285714285714,-0.142857142857143,0.432449982093868,0.464285714285714
"Tartaric.acid",0.25,0.464285714285714,-0.810843716426003,-0.357142857142857
"Total.Sweet",0.142857142857143,-0.0357142857142857,-0.630656223886891,0.178571428571429
"Total.Sour",0.357142857142857,-0.285714285714286,-0.270281238808668,0
"Total.Tart",0.392857142857143,-0.678571428571428,-0.144149994031289,0.285714285714286
